ID,Kpi,Grade,wbs,contractor
6560,lifting ,74,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6559,welding machine,66,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",Proyecta
6558,welding on steel pipe,61,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",Proyecta
6557,drum roller compactor,63,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa
6556,motor grader,63,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa
6555,backfilling and site improvement,62,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa
6554,safety on site,66,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON
6553,electrical panel,66,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON
6552,block installation,70,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON
6551,crane,72,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",LIBRA
6550,safety excavation,62,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",LIBRA
6549,pipe,64,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6548,welding on steel pipe,67,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control
6547,safety on site,64,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6546,scissor lift,69,"Construction of structural elements to support the rails and keep the railway track in place. These include cleats, which will be used to secure the rails to the sleepers.",Sisttemex
6545,manual cutting with machine,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6544,scissor lift,70,"Construction of structural elements to support the rails and keep the railway track in place. These include cleats, which will be used to secure the rails to the sleepers.",AJAX
6543,scissor lift,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",Barosa
6542,manual cutting with machine,68,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",Barosa
6541,titan crane,77,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6540,lifting ,75,"Piping interconnection is the process of connecting different pipes and services to create an integrated system. This process allows the flow of liquids, gases, or solids between different sections of the building.",HIDROTIC
6539,scaffold,71,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6538,infrastructure safety inspection,65,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
6537,welding machine,66,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC
